age,brand,model,price_usd,sentiment,country,language,verified_purchase,review_length,word_count,source
27,Apple,iPhone 15 Pro,726.56,Positive,Brazil,Portuguese,True,56,10,Flipkart
33,Motorola,Moto G Power,524.78,Neutral,Brazil,Portuguese,True,67,12,AliExpress
24,Xiaomi,Mi 13 Pro,565.79,Positive,India,Hindi,True,57,10,eBay
40,Google,Pixel 6,518.39,Positive,Canada,English,True,55,10,eBay
24,Apple,iPhone 15 Pro,1280.21,Positive,Australia,English,False,68,13,Flipkart
29,Google,Pixel 6,1082.84,Positive,India,Hindi,True,71,12,eBay
33,Samsung,Galaxy Z Flip,1056.74,Positive,UK,English,True,81,14,Flipkart
26,Xiaomi,Mi 13 Pro,218.34,Neutral,Australia,English,True,63,10,eBay
30,OnePlus,OnePlus 12,525.34,Positive,UAE,English,False,74,12,BestBuy
36,Samsung,Galaxy S24,707.93,Neutral,India,Hindi,True,75,14,Amazon
41,Google,Pixel 8,1021.34,Neutral,Canada,English,True,66,9,AliExpress
33,Samsung,Galaxy Z Flip,1377.17,Positive,Germany,German,True,47,9,Amazon
18,Motorola,Edge 50,526.69,Positive,Germany,German,False,63,11,AliExpress
39,Realme,Realme Narzo 70,440.19,Positive,Brazil,Portuguese,True,54,8,Flipkart
32,Apple,iPhone SE,856.62,Positive,USA,English,True,59,9,eBay
28,Realme,Realme Narzo 70,294.5,Positive,USA,English,True,65,12,eBay
31,Motorola,Moto G Power,530.14,Positive,USA,English,True,78,14,eBay
23,Realme,Realme 12 Pro,525.5,Positive,Brazil,Portuguese,True,72,12,AliExpress
32,Motorola,Moto G Power,585.18,Neutral,UAE,English,True,61,12,BestBuy
35,Motorola,Edge 50,615.46,Negative,USA,English,True,47,8,eBay
18,Google,Pixel 6,541.65,Positive,Brazil,Portuguese,True,50,8,BestBuy
20,Samsung,Galaxy Z Flip,1357.63,Positive,Canada,English,True,57,10,AliExpress
31,Realme,Realme Narzo 70,596.84,Negative,India,Hindi,True,55,6,eBay
22,Xiaomi,Poco X6,351.56,Positive,Canada,English,True,64,11,Amazon
35,Apple,iPhone SE,1353.96,Positive,Canada,English,True,68,13,AliExpress
26,OnePlus,OnePlus Nord 3,676.67,Positive,Australia,English,True,78,14,eBay
44,OnePlus,OnePlus Nord 3,752.73,Neutral,Germany,German,True,63,13,BestBuy
19,Apple,iPhone 13,1199.12,Positive,Canada,English,True,60,10,AliExpress
33,Motorola,Razr 40,449.69,Positive,Germany,German,True,60,12,BestBuy
18,Samsung,Galaxy Note 20,724.68,Neutral,India,Hindi,True,65,11,Amazon
23,Google,Pixel 7a,652.8,Negative,UK,English,False,66,10,AliExpress
26,OnePlus,OnePlus Nord 3,682.94,Neutral,UAE,English,True,67,8,Amazon
37,OnePlus,OnePlus Nord 3,463.17,Positive,USA,English,True,69,13,AliExpress
30,Realme,Realme 12 Pro,515.46,Positive,UK,English,True,72,12,Flipkart
31,Apple,iPhone 15 Pro,1045.66,Positive,Canada,English,True,64,12,eBay
29,OnePlus,OnePlus 11R,704.27,Negative,Brazil,Portuguese,True,45,7,Amazon
33,Motorola,Edge 50,378.53,Neutral,Canada,English,True,66,13,Flipkart
24,Samsung,Galaxy S24,1133.07,Neutral,UK,English,True,82,13,AliExpress
18,Xiaomi,Mi 13 Pro,638.33,Negative,India,Hindi,True,54,12,eBay
24,Apple,iPhone 13,1195.67,Positive,Germany,German,True,56,10,AliExpress
39,Samsung,Galaxy A55,458.55,Positive,Germany,German,True,65,10,BestBuy
26,Google,Pixel 6,752.75,Neutral,Germany,German,True,60,9,BestBuy
37,Realme,Realme Narzo 70,332.14,Positive,Germany,German,True,64,12,AliExpress
46,Apple,iPhone 15 Pro,1282.35,Positive,Australia,English,True,66,11,Flipkart
27,Realme,Realme 12 Pro,298.52,Positive,Germany,German,True,59,9,Flipkart
32,Xiaomi,Poco X6,405.55,Positive,UAE,English,False,56,9,eBay
33,Realme,Realme Narzo 70,417.44,Positive,USA,English,True,65,11,BestBuy
29,Realme,Realme 12 Pro,477.29,Positive,UK,English,True,56,10,BestBuy
22,Realme,Realme Narzo 70,518.69,Positive,India,Hindi,True,58,9,BestBuy
30,Apple,iPhone 15 Pro,752.16,Positive,India,Hindi,True,64,12,Flipkart
28,Google,Pixel 7a,880.75,Neutral,UAE,English,True,60,9,AliExpress
32,Samsung,Galaxy Note 20,602.02,Positive,UAE,English,True,58,9,AliExpress
55,Motorola,Edge 50,297.34,Positive,UK,English,True,59,8,Amazon
20,Samsung,Galaxy S24,894.21,Negative,UAE,English,True,60,9,BestBuy
45,Google,Pixel 6,770.21,Neutral,Germany,German,False,63,10,Flipkart
35,Xiaomi,Poco X6,287.44,Negative,UK,English,False,55,8,AliExpress
31,Realme,Realme 12 Pro,193.94,Positive,USA,English,True,65,10,AliExpress
28,OnePlus,OnePlus 12,597.26,Negative,Germany,German,False,47,8,eBay
24,Google,Pixel 7a,1077.69,Neutral,Australia,English,True,71,14,eBay
18,Xiaomi,Mi 13 Pro,434.38,Positive,Canada,English,True,60,10,eBay
41,Apple,iPhone SE,1335.66,Positive,UAE,English,False,77,14,Flipkart
46,Xiaomi,Redmi Note 13,503.54,Neutral,UK,English,True,70,12,Amazon
28,Motorola,Moto G Power,503.76,Neutral,USA,English,True,72,10,Flipkart
40,Xiaomi,Poco X6,458.29,Positive,UK,English,True,69,13,BestBuy
40,OnePlus,OnePlus 11R,574.4,Positive,Brazil,Portuguese,False,70,13,AliExpress
46,Xiaomi,Mi 13 Pro,518.2,Positive,UAE,English,True,58,10,Flipkart
34,Realme,Realme Narzo 70,213.68,Positive,Canada,English,False,69,13,Amazon
29,Xiaomi,Redmi Note 13,466.98,Positive,Germany,German,True,74,12,Amazon
19,OnePlus,OnePlus Nord 3,629.46,Neutral,Australia,English,True,56,11,eBay
19,Google,Pixel 6,923.35,Neutral,UK,English,True,59,10,eBay
27,Google,Pixel 6,887.49,Neutral,Canada,English,True,65,10,eBay
35,Realme,Realme Narzo 70,383.95,Positive,UAE,English,False,59,8,eBay
27,OnePlus,OnePlus 11R,841.54,Positive,UK,English,False,69,13,AliExpress
27,OnePlus,OnePlus 11R,702.11,Neutral,Brazil,Portuguese,False,68,11,Flipkart
53,Xiaomi,Mi 13 Pro,269.6,Positive,USA,English,True,60,10,AliExpress
32,OnePlus,OnePlus 11R,976.62,Negative,Germany,German,True,52,7,AliExpress
29,Motorola,Razr 40,477.61,Negative,India,Hindi,False,57,9,BestBuy
35,Motorola,Edge 50,788.44,Positive,Australia,English,True,51,9,Flipkart
26,Realme,Realme 12 Pro,443.17,Negative,India,Hindi,True,47,8,BestBuy
24,Realme,Realme 12 Pro,582.13,Positive,USA,English,True,66,10,Flipkart
24,Samsung,Galaxy A55,807.54,Positive,Australia,English,False,65,12,BestBuy
22,Motorola,Moto G Power,441.72,Positive,Germany,German,True,50,8,Amazon
18,Samsung,Galaxy A55,1288.66,Positive,Brazil,Portuguese,True,65,12,eBay
24,Apple,iPhone SE,927.42,Positive,USA,English,True,65,11,BestBuy
21,Google,Pixel 7a,1003.6,Positive,Australia,English,True,60,12,AliExpress
44,Google,Pixel 7a,796.29,Positive,Canada,English,False,69,13,BestBuy
30,Realme,Realme Narzo 70,331.22,Negative,USA,English,False,55,8,BestBuy
36,Xiaomi,Redmi Note 13,436.14,Negative,USA,English,True,54,9,BestBuy
36,Realme,Realme Narzo 70,479.55,Positive,UK,English,False,71,12,AliExpress
27,Xiaomi,Mi 13 Pro,368.67,Positive,India,Hindi,True,47,9,Flipkart
41,Motorola,Moto G Power,778.1,Positive,USA,English,True,57,10,BestBuy
18,Samsung,Galaxy S24,693.31,Neutral,UAE,English,True,62,10,AliExpress
18,Apple,iPhone 14,752.56,Positive,Australia,English,True,51,9,Flipkart
45,Apple,iPhone 13,1348.9,Neutral,Canada,English,True,70,12,AliExpress
50,Apple,iPhone SE,817.84,Positive,UK,English,True,72,12,Amazon
34,Realme,Realme 12 Pro,249.61,Positive,UK,English,True,81,14,Flipkart
30,Google,Pixel 7a,975.56,Negative,India,Hindi,True,56,11,eBay
26,Google,Pixel 8,839.05,Neutral,USA,English,True,67,8,AliExpress
27,Google,Pixel 8,757.22,Positive,UAE,English,False,55,11,Amazon
22,Realme,Realme Narzo 70,330.6,Neutral,UAE,English,False,75,14,eBay
39,Xiaomi,Poco X6,490.04,Positive,USA,English,True,64,11,Amazon
18,OnePlus,OnePlus 11R,484.6,Positive,UK,English,True,60,12,AliExpress
18,Google,Pixel 6,522.54,Positive,Australia,English,True,78,14,AliExpress
24,Xiaomi,Redmi Note 13,385.47,Negative,USA,English,True,55,6,Flipkart
18,Xiaomi,Mi 13 Pro,590.32,Neutral,UAE,English,True,63,10,BestBuy
36,Xiaomi,Mi 13 Pro,660.5,Neutral,Germany,German,True,66,13,eBay
26,Apple,iPhone 14,1457.67,Positive,USA,English,True,69,13,BestBuy
32,Motorola,Edge 50,717.58,Positive,India,Hindi,True,66,11,eBay
34,OnePlus,OnePlus 11R,788.11,Positive,Brazil,Portuguese,True,81,14,BestBuy
28,Apple,iPhone 13,1248.36,Positive,UK,English,False,55,10,BestBuy
29,Motorola,Razr 40,366.71,Positive,Australia,English,True,70,13,eBay
39,Motorola,Razr 40,489.82,Positive,India,Hindi,True,66,11,BestBuy
18,Realme,Realme Narzo 70,186.35,Negative,Australia,English,True,60,8,Flipkart
35,Google,Pixel 6,592.9,Negative,Brazil,Portuguese,True,60,9,Amazon
29,Apple,iPhone 13,1166.34,Positive,Brazil,Portuguese,True,77,14,BestBuy
47,OnePlus,OnePlus 11R,820.24,Positive,Australia,English,False,59,9,Flipkart
21,Samsung,Galaxy S24,648.38,Positive,USA,English,True,65,10,eBay
40,Google,Pixel 7a,722.67,Negative,Brazil,Portuguese,True,46,7,Amazon
22,OnePlus,OnePlus Nord 3,808.55,Positive,USA,English,True,65,10,BestBuy
18,Apple,iPhone 13,1311.55,Positive,Brazil,Portuguese,True,59,9,BestBuy
35,Samsung,Galaxy A55,649.96,Positive,Germany,German,True,66,10,eBay
39,Realme,Realme Narzo 70,261.42,Negative,UK,English,True,57,9,Flipkart
27,Google,Pixel 6,607.55,Neutral,Australia,English,False,64,8,Amazon
18,Xiaomi,Redmi Note 13,311.18,Positive,UAE,English,True,70,13,AliExpress
39,Xiaomi,Poco X6,450.06,Positive,Brazil,Portuguese,True,59,8,BestBuy
56,Samsung,Galaxy Z Flip,819.27,Positive,Australia,English,False,69,13,Flipkart
29,Xiaomi,Poco X6,627.49,Negative,Brazil,Portuguese,True,54,6,BestBuy
42,Realme,Realme Narzo 70,452.29,Positive,Canada,English,True,47,9,Amazon
18,Google,Pixel 6,933.64,Neutral,Canada,English,True,73,12,Flipkart
44,Samsung,Galaxy S24,540.32,Neutral,UK,English,True,61,12,Flipkart
39,Motorola,Razr 40,293.89,Positive,USA,English,True,71,12,AliExpress
41,Motorola,Razr 40,429.68,Negative,UAE,English,False,56,11,BestBuy
18,Samsung,Galaxy Z Flip,590.93,Neutral,USA,English,True,67,8,BestBuy
25,Google,Pixel 8,919.37,Positive,Australia,English,True,58,10,eBay
36,Apple,iPhone 14,753.8,Positive,Australia,English,True,59,8,Amazon
33,Google,Pixel 6,958.61,Neutral,Brazil,Portuguese,True,65,10,Amazon
18,Xiaomi,Poco X6,314.44,Neutral,Canada,English,True,71,14,Flipkart
40,Apple,iPhone 15 Pro,1100.29,Neutral,USA,English,True,71,14,Flipkart
33,Apple,iPhone 13,1064.14,Neutral,UAE,English,True,65,10,Flipkart
31,OnePlus,OnePlus Nord 3,722.19,Positive,Germany,German,True,77,14,AliExpress
30,Apple,iPhone SE,1342.11,Negative,USA,English,True,60,8,eBay
23,OnePlus,OnePlus Nord 3,600.64,Positive,UK,English,True,50,8,Flipkart
31,OnePlus,OnePlus Nord 3,516.7,Positive,Brazil,Portuguese,True,65,10,eBay
29,Realme,Realme Narzo 70,240.51,Neutral,UK,English,True,65,11,eBay
46,Google,Pixel 7a,751.16,Positive,India,Hindi,True,57,10,Flipkart
27,OnePlus,OnePlus Nord 3,894.85,Positive,Canada,English,True,51,9,BestBuy
38,Motorola,Edge 50,586.85,Positive,India,Hindi,True,47,9,Flipkart
22,Samsung,Galaxy A55,774.55,Neutral,UK,English,True,60,9,Flipkart
33,Xiaomi,Poco X6,637.04,Positive,Germany,German,True,55,10,BestBuy
29,Motorola,Moto G Power,324.52,Positive,Canada,English,True,56,10,BestBuy
32,Motorola,Moto G Power,322.67,Positive,Brazil,Portuguese,False,62,11,Flipkart
32,Motorola,Moto G Power,469.42,Positive,India,Hindi,True,65,11,Amazon
28,Realme,Realme 12 Pro,417.63,Negative,Germany,German,True,60,9,AliExpress
21,Samsung,Galaxy Z Flip,717.55,Negative,USA,English,False,55,10,Amazon
28,Xiaomi,Redmi Note 13,371.69,Negative,Brazil,Portuguese,True,55,9,Amazon
36,OnePlus,OnePlus 12,386.14,Positive,India,Hindi,False,50,8,BestBuy
47,Motorola,Edge 50,405.26,Positive,UK,English,False,81,14,eBay
18,Realme,Realme 12 Pro,455.95,Negative,UAE,English,False,66,10,Amazon
23,OnePlus,OnePlus 12,987.37,Positive,UK,English,True,64,12,BestBuy
35,Samsung,Galaxy Note 20,1092.01,Positive,USA,English,True,71,13,AliExpress
29,Xiaomi,Redmi Note 13,242.34,Positive,USA,English,True,58,9,AliExpress
34,Samsung,Galaxy A55,875.6,Positive,Germany,German,True,71,12,Flipkart
26,Google,Pixel 7a,712.8,Neutral,UK,English,False,62,10,Amazon
33,Google,Pixel 6,737.16,Positive,India,Hindi,True,77,14,eBay
35,OnePlus,OnePlus Nord 3,790.33,Positive,India,Hindi,True,50,8,Amazon
29,Motorola,Razr 40,223.56,Positive,Australia,English,True,65,10,BestBuy
33,Motorola,Razr 40,562.12,Neutral,UK,English,True,65,10,Flipkart
28,Motorola,Edge 50,654.37,Negative,USA,English,True,66,10,Amazon
24,Motorola,Edge 50,700.97,Negative,India,Hindi,True,61,11,AliExpress
30,Xiaomi,Mi 13 Pro,593.69,Positive,India,Hindi,True,61,10,Amazon
36,Motorola,Razr 40,455.67,Negative,Australia,English,True,45,7,eBay
19,Xiaomi,Poco X6,446.27,Positive,UAE,English,False,78,14,eBay
31,Realme,Realme Narzo 70,331.65,Positive,Australia,English,False,65,12,eBay
39,Apple,iPhone 15 Pro,1237.91,Negative,UK,English,True,55,9,Amazon
41,OnePlus,OnePlus 11R,995.18,Positive,Germany,German,True,65,10,eBay
20,Samsung,Galaxy Z Flip,1179.52,Positive,Australia,English,True,58,9,BestBuy
37,Google,Pixel 7a,961.15,Positive,Germany,German,True,74,12,eBay
30,OnePlus,OnePlus 11R,403.04,Positive,UK,English,False,71,13,eBay
40,Apple,iPhone 13,755.52,Positive,USA,English,True,61,10,AliExpress
41,Apple,iPhone 13,917.56,Positive,UAE,English,True,57,10,Amazon
32,Google,Pixel 8,998.91,Negative,Australia,English,True,55,11,Flipkart
30,Apple,iPhone 14,1132.24,Negative,UK,English,False,68,11,Amazon
32,OnePlus,OnePlus Nord 3,411.73,Positive,UAE,English,True,61,10,eBay
40,Samsung,Galaxy S24,978.49,Neutral,UK,English,True,64,8,eBay
33,Apple,iPhone SE,927.63,Positive,Australia,English,False,70,13,Flipkart
36,Realme,Realme 12 Pro,425.95,Positive,Australia,English,True,55,11,Flipkart
27,Motorola,Edge 50,621.04,Neutral,Canada,English,True,60,9,AliExpress
29,OnePlus,OnePlus Nord 3,428.29,Neutral,UK,English,True,62,11,eBay
39,Realme,Realme Narzo 70,348.3,Positive,Brazil,Portuguese,True,71,12,BestBuy
35,Realme,Realme 12 Pro,233.27,Positive,UAE,English,True,65,11,AliExpress
25,Realme,Realme 12 Pro,561.37,Positive,UK,English,False,71,12,AliExpress
35,Samsung,Galaxy Note 20,1340.88,Positive,UK,English,False,72,12,Flipkart
38,OnePlus,OnePlus 11R,988.64,Positive,Germany,German,True,70,13,AliExpress
18,OnePlus,OnePlus 12,883.32,Negative,Germany,German,True,55,8,Flipkart
49,Google,Pixel 6,863.05,Positive,UK,English,False,72,12,AliExpress
32,Apple,iPhone 14,1009.37,Positive,USA,English,True,81,14,AliExpress
40,Xiaomi,Poco X6,486.93,Neutral,India,Hindi,True,65,10,BestBuy
22,Xiaomi,Redmi Note 13,261.64,Positive,Brazil,Portuguese,True,65,10,Amazon
36,Samsung,Galaxy Z Flip,735.37,Positive,Brazil,Portuguese,True,64,11,AliExpress
30,Samsung,Galaxy Note 20,749.94,Neutral,Australia,English,True,73,12,BestBuy
32,Google,Pixel 6,938.52,Positive,USA,English,True,47,9,BestBuy
24,Xiaomi,Redmi Note 13,266.5,Positive,UK,English,True,63,11,eBay
23,Motorola,Razr 40,645.36,Positive,Brazil,Portuguese,False,51,9,AliExpress
18,Realme,Realme Narzo 70,431.71,Positive,Canada,English,False,71,12,eBay
31,Xiaomi,Mi 13 Pro,648.29,Positive,UAE,English,False,74,12,AliExpress
18,Xiaomi,Redmi Note 13,353.21,Neutral,Canada,English,True,69,10,BestBuy
41,Xiaomi,Poco X6,605.93,Positive,UAE,English,False,59,8,eBay
25,Samsung,Galaxy Note 20,1297.39,Positive,Australia,English,True,78,14,Amazon
27,Google,Pixel 6,969.13,Neutral,Canada,English,True,71,14,eBay
35,Google,Pixel 7a,743.2,Positive,Germany,German,True,59,9,Amazon
18,Xiaomi,Mi 13 Pro,443.09,Positive,Australia,English,True,65,12,Flipkart
33,Google,Pixel 6,571.97,Positive,Brazil,Portuguese,True,58,10,Flipkart
28,Realme,Realme Narzo 70,546.68,Positive,UAE,English,True,64,12,AliExpress
20,Samsung,Galaxy Note 20,1238.85,Neutral,Australia,English,False,66,9,BestBuy
37,Google,Pixel 7a,1076.85,Neutral,UAE,English,True,69,10,Amazon
40,OnePlus,OnePlus Nord 3,573.66,Positive,USA,English,True,78,14,Amazon
21,Google,Pixel 7a,751.38,Positive,Germany,German,True,56,10,AliExpress
22,Xiaomi,Redmi Note 13,657.5,Negative,Brazil,Portuguese,True,56,8,Amazon
25,Samsung,Galaxy S24,1021.33,Neutral,UAE,English,True,73,12,Flipkart
29,Xiaomi,Poco X6,589.02,Positive,UAE,English,True,71,13,AliExpress
40,OnePlus,OnePlus 11R,612.26,Positive,UAE,English,True,64,12,Flipkart
19,Xiaomi,Poco X6,676.7,Positive,Australia,English,True,65,12,BestBuy
43,Google,Pixel 7a,1045.66,Positive,Canada,English,True,61,10,Flipkart
34,OnePlus,OnePlus Nord 3,605.66,Positive,Canada,English,True,65,11,AliExpress
28,Motorola,Razr 40,426.42,Positive,Germany,German,True,59,8,AliExpress
32,Xiaomi,Mi 13 Pro,669.03,Negative,Australia,English,True,56,11,Amazon
26,OnePlus,OnePlus Nord 3,879.35,Positive,Germany,German,True,55,10,AliExpress
18,OnePlus,OnePlus 11R,924.39,Positive,Germany,German,True,65,10,AliExpress
27,Samsung,Galaxy A55,489.76,Negative,India,Hindi,True,55,6,Amazon
19,Apple,iPhone 15 Pro,832.98,Negative,Australia,English,True,66,10,Flipkart
21,Apple,iPhone 13,905.65,Positive,Brazil,Portuguese,True,64,11,BestBuy
43,OnePlus,OnePlus Nord 3,866.06,Negative,India,Hindi,True,60,9,Amazon
34,Samsung,Galaxy Z Flip,1148.96,Positive,UK,English,True,80,14,Flipkart
37,Realme,Realme Narzo 70,367.63,Positive,India,Hindi,True,81,14,Amazon
24,OnePlus,OnePlus Nord 3,933.31,Positive,UAE,English,False,64,12,Flipkart
51,Motorola,Razr 40,299.3,Neutral,UAE,English,False,61,12,BestBuy
31,Samsung,Galaxy Z Flip,1119.25,Negative,Germany,German,True,55,8,BestBuy
41,Google,Pixel 6,855.03,Positive,Canada,English,False,71,12,AliExpress
25,OnePlus,OnePlus 12,633.56,Neutral,Brazil,Portuguese,False,57,9,eBay
21,OnePlus,OnePlus 12,709.33,Neutral,India,Hindi,True,68,11,BestBuy
23,OnePlus,OnePlus Nord 3,419.0,Negative,India,Hindi,True,46,10,Amazon
46,Realme,Realme 12 Pro,196.77,Positive,UAE,English,True,56,9,AliExpress
39,Realme,Realme Narzo 70,371.37,Positive,USA,English,True,66,10,Flipkart
43,Samsung,Galaxy Z Flip,416.03,Negative,UK,English,True,67,13,AliExpress
27,Xiaomi,Poco X6,490.86,Neutral,Canada,English,True,68,14,Amazon
35,Google,Pixel 7a,953.87,Positive,Australia,English,True,63,11,AliExpress
30,Google,Pixel 8,961.44,Positive,UK,English,False,72,12,eBay
42,Apple,iPhone 13,1450.54,Positive,UAE,English,False,69,13,eBay
32,Samsung,Galaxy Z Flip,1201.84,Positive,UAE,English,True,59,9,BestBuy
18,Realme,Realme 12 Pro,379.21,Positive,Brazil,Portuguese,True,59,8,AliExpress
26,Apple,iPhone 14,1253.38,Neutral,Brazil,Portuguese,True,71,14,Amazon
22,Apple,iPhone 15 Pro,1473.36,Neutral,India,Hindi,True,68,11,Flipkart
18,Motorola,Razr 40,783.11,Positive,Brazil,Portuguese,True,56,10,eBay
29,Xiaomi,Redmi Note 13,669.96,Positive,UK,English,True,50,8,AliExpress
